# Generated by scripts/snapshot-opening-popularity.mjs
# source=https://chess-analysis.org/api/explore/lichess
# snapshot=2026-08-06T18:32:36.169Z
# variant=standard; speeds=blitz,rapid,classical; ratings=1200,1400,1600,1800,2000,2200,2500
# measuredParentDepth=4; deeper lines use documented 0.82-per-ply decay
uci	globalGames	globalShare
d2d4 d7d5 b1c3	30777409	0.06504014
d2d4 d7d5 b1c3 c7c5	1042958	0.03211267
d2d4 d7d5 b1c3 c8f5	2454302	0.07556795
d2d4 d7d5 b1c3 c8g4	186625	0.00574618
d2d4 d7d5 b1c3 e7e5	238543	0.00734474
d2d4 d7d5 b1c3 e7e6	6893270	0.21224375
d2d4 d7d5 b1c3 e7e6 c1f4	3927947	0.43827449
d2d4 d7d5 b1c3 g8f6 c1f4	8643704	0.42168960
d2d4 d7d5 b1c3 g8f6 c1f4 e7e6	7087837	0.34578546
d2d4 d7d5 b1c3 g8f6 c1f4 g7g6	7087837	0.34578546
d2d4 d7d5 b1c3 h7h5	0	0.00000000
d2d4 d7d5 c1f4	89353365	0.18882535
d2d4 d7d5 c1f4 c7c5	42000	0.50000000
d2d4 d7d5 c1f4 c7c5 d4c5	390337	0.07505587
d2d4 d7d5 c1f4 c7c5 e2e4	39004	0.00749988
d2d4 d7d5 c1f4 c7c5 e2e4 d5e4	31983	0.00614984
d2d4 d7d5 c1g5	7922633	0.01674245
